pid,name,team,pos,photo,mp,starts,mins,g,a,yc,rc,pen,rating_best,xg,xa,npxg,bc_missed,bc_missed_xg,gk_shots_faced,gk_xgot_faced,gk_goals_conceded,prog_passes,prog_carries,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves,ga,rating,pass_pct,xg_diff,xa_diff,xgi,npg,fwd_eff,gk_goals_prevented,xt_added_p90
599413,Job Ochieng,Real Sociedad,AML,https://images.fotmob.com/image_resources/playerimages/1724551.png,3,2,186,1,1,0,0,0,8.0,0.34,0.09,0.34,0,0.0,0,0.0,0,10,1,5,2,35,22,3,75,2,0,2,1,5,0,4,0,2,6.37,63,0.66,0.91,0.43,1,2.94,,-0.0017
402137,Inigo Vicente,Racing Santander,AML,https://images.fotmob.com/image_resources/playerimages/889229.png,5,5,436,0,2,1,0,0,8.2,0.03,1.78,0.03,0,0.0,0,0.0,0,90,7,1,0,317,234,17,413,18,4,1,9,9,5,10,0,2,7.32,74,-0.03,0.22,1.81,0,,,0.4159
261212,Dani Olmo,Barcelona,Sub,https://images.fotmob.com/image_resources/playerimages/614834.png,5,1,176,0,2,0,0,0,7.9,0.31,1.1,0.31,0,0.0,0,0.0,0,33,1,6,1,113,104,5,155,4,1,0,4,0,3,4,0,2,6.78,92,-0.31,0.9,1.41,0,0.0,,0.0683
135366,Ayoze Perez,Villarreal,FW,https://images.fotmob.com/image_resources/playerimages/479020.png,6,4,290,0,2,0,0,0,7.4,1.42,0.31,1.42,3,0.95,0,0.0,0,9,0,10,4,80,63,5,132,8,0,2,2,3,0,3,0,2,6.55,79,-1.42,1.69,1.73,0,0.0,,0.0453
516414,Lucas Cepeda,Elche,Sub,https://images.fotmob.com/image_resources/playerimages/1280756.png,6,0,175,0,2,1,0,0,6.9,0.23,0.41,0.23,0,0.0,0,0.0,0,24,1,7,4,101,91,5,134,2,3,0,1,4,1,2,0,2,6.48,90,-0.23,1.59,0.64,0,0.0,,0.235
298839,Mikel Oyarzabal,Real Sociedad,FW,https://images.fotmob.com/image_resources/playerimages/678234.png,6,5,426,0,2,1,0,0,6.8,0.77,0.65,0.77,2,0.51,0,0.0,0,24,0,8,4,146,113,6,217,6,2,5,1,4,0,6,0,2,6.35,77,-0.77,1.35,1.42,0,0.0,,0.0932
83686,Marc Bartra,Real Betis,DC,https://images.fotmob.com/image_resources/playerimages/195305.png,4,3,345,1,0,0,0,0,8.6,0.15,0.01,0.15,0,0.0,0,0.0,0,15,0,4,2,144,121,1,211,13,4,10,1,0,30,0,0,1,7.7,84,0.85,-0.01,0.16,1,6.67,,0.0442
591617,Xavi Espart,Barcelona,DL,https://images.fotmob.com/image_resources/playerimages/1815149.png,5,5,454,1,0,1,0,0,8.4,0.17,0.37,0.17,0,0.0,0,0.0,0,48,2,4,2,246,213,4,369,23,7,6,5,8,14,1,0,1,7.58,87,0.83,-0.37,0.54,1,5.88,,0.0292
402206,Natan,Real Betis,DC,https://images.fotmob.com/image_resources/playerimages/1188375.png,5,5,477,1,0,2,0,0,8.1,0.45,0.01,0.45,0,0.0,0,0.0,0,13,0,2,1,287,261,2,355,13,1,9,2,2,40,0,0,1,7.24,91,0.55,-0.01,0.46,1,2.22,,0.0278
402663,Aitor Paredes,Athletic Club,DC,https://images.fotmob.com/image_resources/playerimages/1191407.png,3,2,214,1,0,0,0,0,7.3,0.27,0.01,0.27,0,0.0,0,0.0,0,19,0,1,1,150,131,1,183,7,1,6,0,3,16,0,0,1,7.13,87,0.73,-0.01,0.28,1,3.7,,0.074
546572,Mikel Rodriguez,Deportivo Alaves,Sub,,3,2,156,1,0,0,0,0,7.9,0.44,0.29,0.44,1,0.35,0,0.0,0,5,3,2,1,40,31,3,76,6,2,1,4,1,3,1,0,1,7.1,78,0.56,-0.29,0.73,1,1.27,,0.0529
586240,Sergio Martinez,Racing Santander,DMC,https://images.fotmob.com/image_resources/playerimages/1791769.png,2,2,113,1,0,0,0,0,7.4,0.05,0.0,0.05,0,0.0,0,0.0,0,1,0,1,1,42,35,0,62,5,2,1,1,3,4,2,0,1,7.1,83,0.95,0.0,0.05,1,,,0.009
459707,Lucas Stassin,Sevilla,Sub,https://images.fotmob.com/image_resources/playerimages/1398377.png,2,1,130,1,0,0,0,0,7.2,0.38,0.0,0.38,1,0.27,0,0.0,0,2,0,3,2,18,11,1,40,2,0,5,2,0,0,2,0,1,7.05,61,0.62,0.0,0.38,1,1.54,,0.0252
347874,Nahuel Tenaglia,Deportivo Alaves,DC,https://images.fotmob.com/image_resources/playerimages/860314.png,6,6,527,1,0,2,0,0,8.4,0.42,0.24,0.42,0,0.0,0,0.0,0,39,0,6,2,180,147,2,296,15,7,6,3,5,28,4,0,1,6.93,82,0.58,-0.24,0.66,1,2.38,,0.0964
367008,Robin Le Normand,Atletico Madrid,DC,https://images.fotmob.com/image_resources/playerimages/609516.png,3,3,288,1,0,0,1,0,8.3,0.03,0.0,0.03,0,0.0,0,0.0,0,13,0,1,1,133,123,0,168,5,4,7,0,3,16,1,0,1,6.93,92,0.97,0.0,0.03,1,,,0.0518
